text,size
C++,                        20
Linux,                      20
Windows,                    12
Java,                       15
Desarrollo Web,             10
Adobe Photoshop,            15
C#,                         7
HTML5,                      10
CSS,                        11
Inglés,                     19
UML,                        10
Visual Basic,               7
Algoritmos,                 9
Inteligencia Artificial,    10
Unity3D,                    5
PHP,                        15
Ensamblador,                10
Sistemas Operativos,        9
Liderazgo,                  5
WordPress,                  14
JQuery,                     8
Joomla,                     6
AngularJS,                  5
SQL,                        10
Oracle,                     10
Bases de Datos,             12
